product_id,name,category,brand,color,description,price,rating,review_count,source,product_url,image_url,availability,delivery_estimate,tags,search_text
1,Nike Revolution Running Shoes,footwear,Nike,Gray,Lightweight running shoes with soft cushioning designed for walking jogging gym workouts and daily comfort.,61.01,4.0,884,Nike,https://example.com/nike/product-1,https://example.com/images/product-1.jpg,Out of Stock,Same day,walking shoes running sneakers lightweight cushioned daily comfort,Nike Revolution Running Shoes footwear Nike Gray Lightweight running shoes with soft cushioning designed for walking jogging gym workouts and daily comfort. Nike walking shoes running sneakers lightweight cushioned daily comfort
2,Nike Revolution Running Shoes,footwear,Nike,Black,Lightweight running shoes with soft cushioning designed for walking jogging gym workouts and daily comfort.,57.69,3.9,1950,eBay,https://example.com/ebay/product-2,https://example.com/images/product-2.jpg,Out of Stock,5-7 days,walking shoes running sneakers lightweight cushioned daily comfort,Nike Revolution Running Shoes footwear Nike Black Lightweight running shoes with soft cushioning designed for walking jogging gym workouts and daily comfort. eBay walking shoes running sneakers lightweight cushioned daily comfort
3,Nike Revolution Running Shoes,footwear,Nike,Navy,Lightweight running shoes with soft cushioning designed for walking jogging gym workouts and daily comfort.,65.95,4.6,3481,Walmart,https://example.com/walmart/product-3,https://example.com/images/product-3.jpg,Limited Stock,3-5 days,walking shoes running sneakers lightweight cushioned daily comfort,Nike Revolution Running Shoes footwear Nike Navy Lightweight running shoes with soft cushioning designed for walking jogging gym workouts and daily comfort. Walmart walking shoes running sneakers lightweight cushioned daily comfort
4,Nike Revolution Running Shoes,footwear,Nike,Navy,Lightweight running shoes with soft cushioning designed for walking jogging gym workouts and daily comfort.,69.82,3.8,1352,Amazon,https://example.com/amazon/product-4,https://example.com/images/product-4.jpg,In Stock,2 days,walking shoes running sneakers lightweight cushioned daily comfort,Nike Revolution Running Shoes footwear Nike Navy Lightweight running shoes with soft cushioning designed for walking jogging gym workouts and daily comfort. Amazon walking shoes running sneakers lightweight cushioned daily comfort
5,Adidas Cloudfoam Casual Sneakers,footwear,Adidas,Blue,Comfortable casual sneakers with cloudfoam cushioning for travel walking campus use and everyday wear.,54.26,4.2,2985,Walmart,https://example.com/walmart/product-5,https://example.com/images/product-5.jpg,In Stock,5-7 days,casual sneakers walking comfort travel college,Adidas Cloudfoam Casual Sneakers footwear Adidas Blue Comfortable casual sneakers with cloudfoam cushioning for travel walking campus use and everyday wear. Walmart casual sneakers walking comfort travel college
6,Adidas Cloudfoam Casual Sneakers,footwear,Adidas,Blue,Comfortable casual sneakers with cloudfoam cushioning for travel walking campus use and everyday wear.,64.41,4.6,1067,eBay,https://example.com/ebay/product-6,https://example.com/images/product-6.jpg,In Stock,Same day,casual sneakers walking comfort travel college,Adidas Cloudfoam Casual Sneakers footwear Adidas Blue Comfortable casual sneakers with cloudfoam cushioning for travel walking campus use and everyday wear. eBay casual sneakers walking comfort travel college
7,Skechers Go Walk Slip-On Shoes,footwear,Skechers,Black,Slip-on walking shoes with breathable upper and memory foam support for long standing and daily walking.,49.0,4.1,2415,Target,https://example.com/target/product-7,https://example.com/images/product-7.jpg,In Stock,1-2 days,walking slip on memory foam comfort shoes,Skechers Go Walk Slip-On Shoes footwear Skechers Black Slip-on walking shoes with breathable upper and memory foam support for long standing and daily walking. Target walking slip on memory foam comfort shoes
8,Skechers Go Walk Slip-On Shoes,footwear,Skechers,Gray,Slip-on walking shoes with breathable upper and memory foam support for long standing and daily walking.,53.41,4.3,3033,eBay,https://example.com/ebay/product-8,https://example.com/images/product-8.jpg,Limited Stock,2 days,walking slip on memory foam comfort shoes,Skechers Go Walk Slip-On Shoes footwear Skechers Gray Slip-on walking shoes with breathable upper and memory foam support for long standing and daily walking. eBay walking slip on memory foam comfort shoes
9,Skechers Go Walk Slip-On Shoes,footwear,Skechers,Navy,Slip-on walking shoes with breathable upper and memory foam support for long standing and daily walking.,51.16,4.1,629,Amazon,https://example.com/amazon/product-9,https://example.com/images/product-9.jpg,Out of Stock,1-2 days,walking slip on memory foam comfort shoes,Skechers Go Walk Slip-On Shoes footwear Skechers Navy Slip-on walking shoes with breathable upper and memory foam support for long standing and daily walking. Amazon walking slip on memory foam comfort shoes
10,Skechers Go Walk Slip-On Shoes,footwear,Skechers,Black,Slip-on walking shoes with breathable upper and memory foam support for long standing and daily walking.,58.01,4.0,3153,Walmart,https://example.com/walmart/product-10,https://example.com/images/product-10.jpg,In Stock,5-7 days,walking slip on memory foam comfort shoes,Skechers Go Walk Slip-On Shoes footwear Skechers Black Slip-on walking shoes with breathable upper and memory foam support for long standing and daily walking. Walmart walking slip on memory foam comfort shoes
11,New Balance Fresh Foam Running Shoes,footwear,New Balance,Gray,Supportive running shoes with fresh foam midsole for jogging walking and fitness training.,91.21,4.2,587,Target,https://example.com/target/product-11,https://example.com/images/product-11.jpg,Limited Stock,5-7 days,running shoes fresh foam fitness jogging,New Balance Fresh Foam Running Shoes footwear New Balance Gray Supportive running shoes with fresh foam midsole for jogging walking and fitness training. Target running shoes fresh foam fitness jogging
12,New Balance Fresh Foam Running Shoes,footwear,New Balance,White,Supportive running shoes with fresh foam midsole for jogging walking and fitness training.,79.13,4.3,3803,Amazon,https://example.com/amazon/product-12,https://example.com/images/product-12.jpg,Limited Stock,2 days,running shoes fresh foam fitness jogging,New Balance Fresh Foam Running Shoes footwear New Balance White Supportive running shoes with fresh foam midsole for jogging walking and fitness training. Amazon running shoes fresh foam fitness jogging
13,New Balance Fresh Foam Running Shoes,footwear,New Balance,Blue,Supportive running shoes with fresh foam midsole for jogging walking and fitness training.,79.82,4.4,2197,eBay,https://example.com/ebay/product-13,https://example.com/images/product-13.jpg,Out of Stock,3-5 days,running shoes fresh foam fitness jogging,New Balance Fresh Foam Running Shoes footwear New Balance Blue Supportive running shoes with fresh foam midsole for jogging walking and fitness training. eBay running shoes fresh foam fitness jogging
14,New Balance Fresh Foam Running Shoes,footwear,New Balance,Black,Supportive running shoes with fresh foam midsole for jogging walking and fitness training.,82.18,4.9,1178,Walmart,https://example.com/walmart/product-14,https://example.com/images/product-14.jpg,Out of Stock,3-5 days,running shoes fresh foam fitness jogging,New Balance Fresh Foam Running Shoes footwear New Balance Black Supportive running shoes with fresh foam midsole for jogging walking and fitness training. Walmart running shoes fresh foam fitness jogging
15,Formal Leather Oxford Shoes,footwear,Clarks,Brown,Polished leather oxford shoes for office meetings interviews formal events and business wear.,97.9,4.7,3503,Amazon,https://example.com/amazon/product-15,https://example.com/images/product-15.jpg,Out of Stock,Same day,formal shoes office leather business interview,Formal Leather Oxford Shoes footwear Clarks Brown Polished leather oxford shoes for office meetings interviews formal events and business wear. Amazon formal shoes office leather business interview
16,Formal Leather Oxford Shoes,footwear,Clarks,Black,Polished leather oxford shoes for office meetings interviews formal events and business wear.,92.29,4.9,2104,eBay,https://example.com/ebay/product-16,https://example.com/images/product-16.jpg,Out of Stock,Same day,formal shoes office leather business interview,Formal Leather Oxford Shoes footwear Clarks Black Polished leather oxford shoes for office meetings interviews formal events and business wear. eBay formal shoes office leather business interview
17,HP Pavilion Student Laptop,electronics,HP,Silver,Lightweight laptop for students office work online classes browsing presentations and everyday productivity.,634.73,4.3,3761,eBay,https://example.com/ebay/product-17,https://example.com/images/product-17.jpg,In Stock,2 days,student laptop office productivity lightweight,HP Pavilion Student Laptop electronics HP Silver Lightweight laptop for students office work online classes browsing presentations and everyday productivity. eBay student laptop office productivity lightweight
